,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
10205,Invicta house Boavista,7.7,"União de Freguesias do Centro, Porto",Good ,98 reviews,Price 169 zł,1.7 km from center,Deluxe Apartment,3,,
10206,ML Apartments Charming Rooms,7.7,"União de Freguesias do Centro, Porto",Good ,277 reviews,Price 302 zł,500 m from center,Double Room with Private Bathroom,0,,Location 9.3
10207,AC Hotel Porto by Marriott,8.1,"Campanhã, Porto",Very Good ,810 reviews,Price 343 zł,2.9 km from center,"Guest room, 1 Queen",4,,
10208,Hotel S. Gabriel,7.5,"União de Freguesias do Centro, Porto",Good ,"2,163 reviews",Price 289 zł,0.6 km from center,Double Room,2,Breakfast included,
10209,Allegra 508,8.6,"Bonfim, Porto",Excellent ,614 reviews,Original price 544 zł. Current price 437 zł.,0.8 km from center,Double Room,3,,
10210,"Mouco Hotel - Stay, Listen & Play",9.0,"Bonfim, Porto",Wonderful ,"1,349 reviews",Price 347 zł,1.7 km from center,Standard Double Room,4,,
10211,Aparthotel Oporto Anselmo,8.8,"Bonfim, Porto",Excellent ,"2,888 reviews",Price 297 zł,0.9 km from center,One-Bedroom Apartment with Balcony and Street View,4,,
10212,Turista Da Trindade,8.9,"União de Freguesias do Centro, Porto",Excellent ,646 reviews,Price 361 zł,0.6 km from center,Standard Twin Room,3,,
10213,Charm Palace Porto,8.7,"Bonfim, Porto",Excellent ,398 reviews,Original price 685 zł. Current price 469 zł.,0.8 km from center,Superior Studio,4,,
10214,Memoria Porto FLH Hotels,9.3,"União de Freguesias do Centro, Porto",Wonderful ,"1,633 reviews",Price 576 zł,1.1 km from center,Twin Room with Interior View,4,Breakfast included,Location 9.8
10215,Pestana Vintage Porto Hotel & World Heritage Site,8.6,"União de Freguesias do Centro, Porto",Excellent ,"1,021 reviews",Price 924 zł,1 km from center,Classic Double or Twin Room,5,Breakfast included,Location 9.7
10216,Maison Albar Hotels Le Monumental Palace,9.5,"União de Freguesias do Centro, Porto",Exceptional ,421 reviews,"Price 1,182 zł",150 m from center,Superior Double or Twin Room,5,,Location 9.8
10217,TMJ BeB,7.8,"União de Freguesias do Centro, Porto",Good ,462 reviews,Price 244 zł,350 m from center,Double Economy Room,3,,Location 9.3
10218,Torel 1884 Suites & Apartments,9.3,"União de Freguesias do Centro, Porto",Wonderful ,406 reviews,"Original price 1,022 zł. Current price 819 zł.",0.7 km from center,Standard Apartment,5,,Location 9.6
10219,Bonjardim 560,10.0,"União de Freguesias do Centro, Porto",Exceptional ,1 review,Original price 889 zł. Current price 713 zł.,250 m from center,Deluxe Duplex Garden View,5,,Location 10
10220,Made in You - Oporto Guesthouse,7.7,"Paranhos, Porto",Good ,108 reviews,Price 174 zł,2 km from center,Standard Double or Twin Room,0,,
10221,Signature Apartments Santa Catarina,9.0,"União de Freguesias do Centro, Porto",Wonderful ,711 reviews,Price 361 zł,0.7 km from center,One-Bedroom Apartment,4,,
10222,Hotel Paulista,7.7,"União de Freguesias do Centro, Porto",Good ,"1,808 reviews",Price 197 zł,100 m from center,Single Room,2,,Location 9.6
10223,Oporto Street Fonte Taurina - Riverfront Suites - Adults Only,8.6,"União de Freguesias do Centro, Porto",Excellent ,501 reviews,Original price 615 zł. Current price 433 zł.,1 km from center,Superior Suite with Street View,4,,Location 9.6
10224,Koolhouse Porto,8.7,"Lordelo do Ouro e Massarelos, Porto",Excellent ,665 reviews,Price 338 zł,2.2 km from center,One-Bedroom Apartment - Top Floor,3,,
10225,Eurostars Oporto,8.8,"Paranhos, Porto",Excellent ,"1,223 reviews",Price 333 zł,4 km from center,Double or Twin Room with Balcony + Parking,4,,
10226,Dear Porto Guest House,8.5,"União de Freguesias do Centro, Porto",Very Good ,"1,437 reviews",Price 253 zł,0.6 km from center,Twin Room with Private External Bathroom,3,,
10227,GR Suites,8.7,"Bonfim, Porto",Excellent ,471 reviews,Price 270 zł,1.3 km from center,Standard Single Room with Garden View,4,Breakfast included,
10228,Douro Virtudes Apartments Historical Center,9.4,"União de Freguesias do Centro, Porto",Wonderful ,135 reviews,Price 784 zł,0.9 km from center,Apartment with Balcony,4,,Location 9.9
10229,Casa Kala,9.5,"Bonfim, Porto",Exceptional ,175 reviews,Original price 845 zł. Current price 718 zł.,0.6 km from center,Superior Double Room,4,Breakfast included,Location 9.3
10230,Lounge Inn Guest House,8.2,"União de Freguesias do Centro, Porto",Very Good ,659 reviews,Price 244 zł,1.4 km from center,Double Room,3,,
10231,Malmerendas Boutique Lodging,9.1,"União de Freguesias do Centro, Porto",Wonderful ,332 reviews,Original price 601 zł. Current price 512 zł.,0.6 km from center,Junior Suite,4,Breakfast included,
10232,Belas Artes Apartments,8.7,"União de Freguesias do Centro, Porto",Excellent ,625 reviews,Price 361 zł,0.7 km from center,One-Bedroom Apartment,4,,Location 9.4
10233,Hospedaria Boavista,6.7,"União de Freguesias do Centro, Porto",Review score ,164 reviews,Price 197 zł,2.2 km from center,Double Room,3,,
10234,Hospedaria Porto,4.4,"Campanhã, Porto",Review score ,85 reviews,Price 192 zł,2 km from center,Standard Double Room,0,,
10235,Guest House Henrique VIII,7.1,"União de Freguesias do Centro, Porto",Good ,700 reviews,Price 221 zł,0.8 km from center,Budget Double Room,3,,
10236,ML Apartments Story,8.5,"União de Freguesias do Centro, Porto",Very Good ,207 reviews,Price 267 zł,0.6 km from center,Standard Apartment,3,,Location 9.4
10237,Bartolomeu Beach Apartments,9.3,"Aldoar - Foz do Douro - Nevogilde, Porto",Wonderful ,123 reviews,Original price 769 zł. Current price 655 zł.,5.6 km from center,One-Bedroom Apartment with Balcony and Sea View and Hot Tub,4,,Location 9.7
10238,Aparthotel Oporto Entreparedes,7.9,"União de Freguesias do Centro, Porto",Good ,791 reviews,Price 361 zł,0.6 km from center,Superior Studio,3,,
10239,Oporto Yellow Apartments,9.8,"Lordelo do Ouro e Massarelos, Porto",Exceptional ,11 reviews,Price 489 zł,1.8 km from center,One-Bedroom Apartment,0,,Location 9.5
10240,Hotel Cristo Rei,6.3,"União de Freguesias do Centro, Porto",Review score ,"1,162 reviews",Price 488 zł,0.7 km from center,Quadruple Room,1,,
10241,Aparthotel Oporto Alves da Veiga,8.8,"União de Freguesias do Centro, Porto",Excellent ,"1,409 reviews",Price 347 zł,0.6 km from center,Deluxe One-Bedroom Apartment with Street View,4,,
10242,Oca Flores Hotel Boutique,8.6,"União de Freguesias do Centro, Porto",Excellent ,558 reviews,Price 690 zł,0.6 km from center,Standard Double Room,4,,Location 9.6
10243,TMJ BeB,7.8,"União de Freguesias do Centro, Porto",Good ,462 reviews,Price 244 zł,350 m from center,Double Economy Room,3,,Location 9.3
10244,Porto Automatic,7.0,"União de Freguesias do Centro, Porto",Good ,"1,259 reviews",Price 199 zł,250 m from center,Double Room with Shared Bathroom,0,,Location 9.3
10245,Residencial Paranhos,7.1,"Paranhos, Porto",Good ,229 reviews,Price 211 zł,2.9 km from center,Twin Room,3,,
10246,Porto River,9.3,"União de Freguesias do Centro, Porto",Wonderful ,764 reviews,Price 677 zł,1 km from center,Studio,4,,Location 9.8
10247,Duerming Republik Aparthotel,9.3,"União de Freguesias do Centro, Porto",Wonderful ,3 reviews,Price 291 zł,450 m from center,Studio,3,,Location 10
10248,Queen's Garden Hostel,9.1,"Ramalde, Porto",Wonderful ,242 reviews,Price 128 zł,3.5 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
10249,Hostel One Ribeira,9.2,"União de Freguesias do Centro, Porto",Wonderful ,921 reviews,Price 171 zł,0.6 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,Location 9.8
10250,Aparthotel Oporto Entreparedes,7.9,"União de Freguesias do Centro, Porto",Good ,791 reviews,Price 361 zł,0.6 km from center,Superior Studio,3,,
10251,Impar Studios,8.2,"União de Freguesias do Centro, Porto",Very Good ,584 reviews,Price 397 zł,500 m from center,Studio Apartment,4,,Location 9.7
10252,GR Suites,8.7,"Bonfim, Porto",Excellent ,471 reviews,Price 270 zł,1.3 km from center,Standard Single Room with Garden View,4,Breakfast included,
10253,ChatNoirPorto LaMaison,8.6,"União de Freguesias do Centro, Porto",Excellent ,625 reviews,Price 314 zł,1.6 km from center,Deluxe Room,0,,
10254,Spot Apartments Ceuta,8.2,"União de Freguesias do Centro, Porto",Very Good ,497 reviews,Price 474 zł,300 m from center,One-Bedroom Apartment,4,,Location 9.3
10255,ML Apartments Story,8.5,"União de Freguesias do Centro, Porto",Very Good ,207 reviews,Price 267 zł,0.6 km from center,Standard Apartment,3,,Location 9.4
10256,Gabriel Guesthouse,7.7,"União de Freguesias do Centro, Porto",Good ,321 reviews,Price 207 zł,1.3 km from center,Double Room with Shared Toilet,0,,
10257,Bruval Premium Apartments - Sé Porto,7.3,"União de Freguesias do Centro, Porto",Good ,231 reviews,Original price 427 zł. Current price 389 zł.,0.8 km from center,Apartment with Balcony,3,,Location 9.3
10258,Hotel Portofoz,7.8,"Aldoar - Foz do Douro - Nevogilde, Porto",Good ,633 reviews,Price 385 zł,5.6 km from center,Suite with Land View,2,Breakfast included,
10259,Oporto Living Apartments,8.7,"Campanhã, Porto",Excellent ,218 reviews,Price 399 zł,2.1 km from center,Deluxe Apartment,3,,
10260,Daisy’s House - Stylish and central loft,8.3,"União de Freguesias do Centro, Porto",Very Good ,27 reviews,Price 385 zł,0.6 km from center,One-Bedroom Apartment,4,,Location 9.5
10261,Maison Albar Hotels Le Monumental Palace,9.5,"União de Freguesias do Centro, Porto",Exceptional ,421 reviews,"Price 1,182 zł",150 m from center,Superior Double or Twin Room,5,,Location 9.8
10262,Be Oporto Apartments Clérigos,8.7,"União de Freguesias do Centro, Porto",Excellent ,502 reviews,Price 338 zł,400 m from center,Studio Apartment,4,,Location 9.6
10263,Casa 45,8.9,"União de Freguesias do Centro, Porto",Excellent ,434 reviews,Price 455 zł,300 m from center,Standard Twin Room - Second Floor,3,Breakfast included,Location 9.5
10264,Hotel Porto Rico,7.2,"União de Freguesias do Centro, Porto",Good ,"1,329 reviews",Price 178 zł,150 m from center,Single Room,2,,
10265,Casa Kala,9.5,"Bonfim, Porto",Exceptional ,175 reviews,Original price 845 zł. Current price 718 zł.,0.6 km from center,Superior Double Room,4,Breakfast included,Location 9.3
10266,Duque de Loulé,8.7,"União de Freguesias do Centro, Porto",Excellent ,564 reviews,Price 422 zł,0.7 km from center,Studio Apartment,4,,Location 9.3
10267,PortoSense Ribeira,9.1,"União de Freguesias do Centro, Porto",Wonderful ,211 reviews,Price 662 zł,1 km from center,Studio,4,,Location 9.8
10268,Arco Apartments,9.6,"União de Freguesias do Centro, Porto",Exceptional ,219 reviews,Price 526 zł,0.9 km from center,Studio Apartment,4,,Location 9.8
10269,Porto Republica Riverside,7.0,"Lordelo do Ouro e Massarelos, Porto",Good ,314 reviews,Price 333 zł,1.8 km from center,Double Room,3,,
10270,Porto River,9.3,"União de Freguesias do Centro, Porto",Wonderful ,764 reviews,Price 677 zł,1 km from center,Studio,4,,Location 9.8
10271,Porto Náutico & Spa,9.1,"União de Freguesias do Centro, Porto",Wonderful ,451 reviews,Price 719 zł,250 m from center,Deluxe Studio,4,,Location 9.5
10272,Impar Studios,8.2,"União de Freguesias do Centro, Porto",Very Good ,584 reviews,Price 397 zł,500 m from center,Apartment,4,,Location 9.7
10273,Aparthotel Oporto Batalha,8.8,"União de Freguesias do Centro, Porto",Excellent ,"1,368 reviews",Price 368 zł,0.6 km from center,Studio with Terrace,4,,Location 9.4
10274,Vibrant Porto Apartments - Heroismo's Metro,8.8,"Bonfim, Porto",Excellent ,228 reviews,Original price 605 zł. Current price 495 zł.,1.6 km from center,Duplex Apartment,4,,
10275,Oporto Chic&Cozy - Batalha II,9.0,"União de Freguesias do Centro, Porto",Wonderful ,395 reviews,Price 380 zł,0.7 km from center,Apartment with Garden View,4,,Location 9.6
10276,RS Porto Historic Center,9.1,"União de Freguesias do Centro, Porto",Wonderful ,374 reviews,Price 495 zł,0.6 km from center,Studio Apartment with Balcony,4,,Location 9.8
10277,Areosa,6.2,Porto,Review score ,414 reviews,Price 169 zł,4.1 km from center,Economy Twin Room,1,,
10278,ML Apartments Charming Rooms,7.7,"União de Freguesias do Centro, Porto",Good ,277 reviews,Price 302 zł,500 m from center,Double Room with Private Bathroom,0,,Location 9.3
10279,Miragaia House,9.3,"União de Freguesias do Centro, Porto",Wonderful ,252 reviews,Price 516 zł,1.1 km from center,Deluxe Double Room with Bath,4,,Location 9.3
10280,Lunar Guest House,7.5,"União de Freguesias do Centro, Porto",Good ,903 reviews,Price 267 zł,0.7 km from center,Double Room,0,,
10281,Rosa Et Al Townhouse,8.9,"União de Freguesias do Centro, Porto",Excellent ,143 reviews,Price 724 zł,0.9 km from center,Superior Suite,4,,
10282,Majestic Hostel Porto,6.8,"União de Freguesias do Centro, Porto",Review score ,"1,096 reviews",Price 74 zł,450 m from center,Bunk Bed in Mixed Dormitory Room,0,,
10283,Go2oporto - Ribeira do Porto,8.7,"União de Freguesias do Centro, Porto",Excellent ,268 reviews,Original price 826 zł. Current price 565 zł.,1.1 km from center,River Front Superior One-Bedroom Apartment,4,,Location 9.9
10284,Lira Guest House B&B,7.8,"Paranhos, Porto",Good ,376 reviews,Price 204 zł,1.8 km from center,Single Room,3,Breakfast included,
10285,Pimms Home Ribeira,7.9,"União de Freguesias do Centro, Porto",Good ,735 reviews,Price 385 zł,1.1 km from center,Standard Double Room,3,,Location 9.5
10286,Spot Apartments Trindade,8.9,"União de Freguesias do Centro, Porto",Excellent ,"1,267 reviews",Price 664 zł,300 m from center,Two-Bedroom Apartment,4,,Location 9.4
10287,Torel Palace Porto,9.2,"União de Freguesias do Centro, Porto",Wonderful ,679 reviews,"Price 1,258 zł",0.6 km from center,Classic Double or Twin Room,5,Breakfast included,Location 9.3
10288,GuestHouse Belo Horizonte,7.5,"União de Freguesias do Centro, Porto",Good ,811 reviews,Price 267 zł,0.6 km from center,Double Room,3,,
10289,Residencial Paranhos,7.1,"Paranhos, Porto",Good ,229 reviews,Price 211 zł,2.9 km from center,Twin Room,3,,
10290,Residencia Vale Formoso,7.8,"Paranhos, Porto",Good ,492 reviews,Price 157 zł,1.8 km from center,Single Room,3,,
10291,B&B Hotel Katowice Centrum,8.4,Katowice,Very Good ,"2,532 reviews",Price 409 zł,0.5 km from center,Standard Double Room,2,,Location 9.4
10292,Rynek 7,7.5,Katowice,Good ,963 reviews,Price 120 zł,100 m from center,Double Room,0,Breakfast included,Location 9.6
10293,Ozonowane Apartamenty Next to Galeria Katowice,9.1,Katowice,Wonderful ,"2,379 reviews",Price 153 zł,400 m from center,Single Room with Shower,3,,Location 9.8
10294,Hostel Kamienica Rynek 7,7.6,Katowice,Good ,"1,338 reviews",Price 95 zł,100 m from center,Small Single Room,0,Breakfast included,Location 9.6
10295,Hostel Katowice Centrum,7.9,Katowice,Good ,"3,070 reviews",Price 60 zł,0.6 km from center,Bed in 4-Bed Dormitory Room,0,,Location 9.4
10296,Campanile Katowice,8.3,Katowice,Very Good ,"1,994 reviews",Price 449 zł,1.9 km from center,Twin Room,3,,
10297,Kathia Pokoje Gościnne,9.3,Katowice,Wonderful ,371 reviews,Price 129 zł,6.4 km from center,Twin Room with Bathroom,3,,
10298,Courtyard by Marriott Katowice City Center,9.1,Katowice,Wonderful ,"1,740 reviews",Price 999 zł,350 m from center,Superior Double Room,4,,Location 9.6
10299,Best Western Hotel Mariacki Katowice,9.1,Katowice,Wonderful ,"1,961 reviews",Price 578 zł,450 m from center,Standard Single Room,3,,Location 9.5
10300,Hotel Monopol,8.7,Katowice,Excellent ,397 reviews,Price 720 zł,250 m from center,Single Room,5,,Location 9.3
10301,Park Inn by Radisson Katowice,7.9,Katowice,Good ,"4,088 reviews",Price 594 zł,3.5 km from center,Single Room,4,,
10302,Jopi Hostel Katowice Centrum,7.5,Katowice,Good ,"1,084 reviews",Price 42 zł,0.7 km from center,Single Bed in Mixed Dormitory Room,0,,
10303,Karczma pod Młynem,8.3,Katowice,Very Good ,"1,448 reviews",Price 185 zł,3.8 km from center,Single Room,0,,
10304,Hostel Sentral,6.8,Katowice,Review score ,796 reviews,Price 120 zł,250 m from center,Single Room with Shared Bathroom,0,,Location 9.3
10305,Hostel Moderna Rest,8.3,Katowice,Very Good ,420 reviews,Price 114 zł,0.7 km from center,Double Room with Terrace,0,,
10306,Apartamenty 1-maja 94,9.1,Katowice,Wonderful ,"1,166 reviews",Price 163 zł,2.1 km from center,Studio Apartment,3,,
10307,Rybnicka 10,8.9,Katowice,Excellent ,107 reviews,Price 109 zł,1.1 km from center,Single Room,0,,
10308,Ondraszka,6.7,Katowice,Review score ,223 reviews,Price 100 zł,1.9 km from center,Single Room with Private Bathroom,0,,
10309,Sentral Apartments,8.0,Katowice,Very Good ,795 reviews,Price 162 zł,250 m from center,Single Room with Private Bathroom,0,,Location 9.5
10310,Mia Mia House,8.3,Katowice,Very Good ,"1,705 reviews",Price 145 zł,2.5 km from center,Double Room with Private Bathroom,3,,
10311,Załęże,8.3,Katowice,Very Good ,"1,319 reviews",Price 200 zł,1.9 km from center,Standard Single Room,3,,
10312,ibis budget Katowice Centrum,7.6,Katowice,Good ,"2,828 reviews",Price 335 zł,0.9 km from center,Standard Double Room,1,,
10313,Park Hotel Diament Katowice,8.4,Katowice,Very Good ,"2,301 reviews",Price 653 zł,1.6 km from center,Standard Double Room,4,,
10314,eM Apartment 17,8.3,Katowice,Very Good ,270 reviews,Price 182 zł,1.1 km from center,One-Bedroom Apartment,3,,
10315,Novotel Katowice Centrum,8.4,Katowice,Very Good ,"2,693 reviews",Price 594 zł,0.9 km from center,Standard Double Room,4,,
10316,Bright Side Apartment Koszutka,9.3,Katowice,Wonderful ,100 reviews,Price 178 zł,0.9 km from center,One-Bedroom Apartment,3,,Location 9.6
10317,ActivPark Apartments,9.2,Katowice,Wonderful ,"1,325 reviews",Price 200 zł,3.6 km from center,Economy Apartment,4,,Location 9.3
10318,Rybnicka 10,8.9,Katowice,Excellent ,107 reviews,Price 109 zł,1.1 km from center,Single Room,0,,
10319,ibis budget Katowice Centrum,7.6,Katowice,Good ,"2,828 reviews",Price 335 zł,0.9 km from center,Standard Double Room,1,,
10320,Luxury Apartment - 3 lakes,9.8,Katowice,Exceptional ,160 reviews,Price 330 zł,1.5 km from center,One-Bedroom Apartment,4,,Location 9.7
10321,Hotel Diament Plaza Katowice,9.2,Katowice,Wonderful ,"1,085 reviews","Price 1,165 zł",250 m from center,Superior Classic Single Room,4,,Location 9.6
10322,Q Hotel Plus Katowice,8.9,Katowice,Excellent ,"2,929 reviews",Price 675 zł,400 m from center,Standard Double Room,4,,
10323,Hotel Marysin Dwór,8.6,Katowice,Excellent ,"1,626 reviews",Price 278 zł,2.3 km from center,Standard Single Room,2,,
10324,Ważne Miejsce Apartment,8.2,Katowice,Very Good ,273 reviews,Price 152 zł,1.3 km from center,Apartment,3,,
10325,Klimczoka 6,7.4,Katowice,Good ,283 reviews,Price 146 zł,2 km from center,Comfort Single Room,0,,
10326,Hotel Restauracja Kinga,8.0,Katowice,Very Good ,773 reviews,Price 195 zł,4.6 km from center,Single Room,3,,
10327,Novotel Katowice Centrum,8.4,Katowice,Very Good ,"2,693 reviews",Price 594 zł,0.9 km from center,Standard Double Room,4,,
10328,Quality Silesian Hotel,8.1,Katowice,Very Good ,"1,345 reviews",Price 373 zł,1.8 km from center,Double Economy,3,,
10329,Studio Apartament Centrum Katowice,7.7,Katowice,Good ,788 reviews,Price 389 zł,450 m from center,Deluxe Studio,3,,
10330,Park Hotel Diament Katowice,8.4,Katowice,Very Good ,"2,301 reviews",Price 653 zł,1.6 km from center,Standard Double Room,4,,
10331,eM Apartment 6,8.3,Katowice,Very Good ,88 reviews,Price 190 zł,1.4 km from center,One-Bedroom Apartment,3,,Location 9.3
10332,Economy Silesian Hotel,8.1,Katowice,Very Good ,890 reviews,Price 423 zł,1.8 km from center,Twin Room,2,,
10333,SAVOY Mariacka Apartments,8.9,Katowice,Excellent ,"3,660 reviews",Price 400 zł,350 m from center,One-Bedroom Apartment,4,,Location 9.5
10334,Comfy & Cosy Apartment,9.4,Katowice,Wonderful ,41 reviews,Price 314 zł,1.4 km from center,Apartment,3,,Location 9.6
10335,Holdek Apartamenty Ceglana,8.7,Katowice,Excellent ,632 reviews,Price 239 zł,1.8 km from center,Deluxe Double Room,3,,
10336,Apartamenty Tespis - Francuska Atal Park,9.1,Katowice,Wonderful ,"1,188 reviews",Price 361 zł,2.1 km from center,Standard Apartment with Balcony - ul. Francuska 98A/20,4,,
10337,Pokoje Gościnne NAP,7.8,Katowice,Good ,363 reviews,Price 200 zł,400 m from center,Standard Twin Room,0,,
10338,Crystal Apartment Katowice IV,7.7,Katowice,Good ,86 reviews,Original price 234 zł. Current price 211 zł.,350 m from center,One-Bedroom Apartment,3,,
10339,"Aparthotel Hornigold ""W Zielonej Kamienicy""",9.2,Katowice,Wonderful ,"1,349 reviews",Price 561 zł,0.7 km from center,Standard Double or Twin Room,4,,Location 9.4
10340,EvitaWita nr2 i nr3 Słowackiego 50mGaleria Katowice,8.7,Katowice,Excellent ,323 reviews,Price 285 zł,450 m from center,Studio Apartment,3,,Location 9.5
10341,Palace Hotel,7.7,"Stari Grad, Belgrade",Good ,"1,328 reviews",Price 178 zł,500 m from center,Single Room,4,,Location 9.6
10342,S Club Resort Hotel Aqua Park and Spa,8.7,Belgrade,Excellent ,120 reviews,Price 213 zł,17.1 km from center,Standard Double Room,3,Breakfast included,
10343,Belgrade Inn Garni Hotel,8.7,"Stari Grad, Belgrade",Excellent ,"1,970 reviews",Price 310 zł,250 m from center,Economy Single Room,4,,Location 9.7
10344,Hotel Mona Plaza,9.0,"Stari Grad, Belgrade",Wonderful ,"1,098 reviews",Original price 598 zł. Current price 449 zł.,1.1 km from center,Superior Double Room with Free Wellness,4,,
10345,Hotel Majestic,8.4,"Stari Grad, Belgrade",Very Good ,"3,111 reviews",Original price 288 zł. Current price 269 zł.,200 m from center,Single Room,4,,Location 9.7
10346,Hostel Karavan Inn,9.2,"Vračar, Belgrade",Wonderful ,442 reviews,Price 91 zł,1.3 km from center,Single Bed in 8-Bed Mixed Dormitory Room with Private Bathroom ,0,,Location 9.4
10347,Kopernikus Hotel Prag,8.5,"Stari Grad, Belgrade",Very Good ,"1,043 reviews",Original price 285 zł. Current price 267 zł.,0.6 km from center,Economy Single Room,4,,
10348,Capital Hotel Garni,8.0,"Stari Grad, Belgrade",Very Good ,"1,680 reviews",Price 440 zł,0.5 km from center,Double Single Use Standard,4,,Location 9.7
10349,Hotel Villa Panorama,8.3,"Rakovica, Belgrade",Very Good ,454 reviews,Price 171 zł,8.6 km from center,Standard Single Room,3,Breakfast included,
10350,Garni Hotel Le Petit Piaf,8.7,"Stari Grad, Belgrade",Excellent ,528 reviews,Original price 311 zł. Current price 292 zł.,350 m from center,Double or Twin Room,3,Breakfast included,Location 9.7
10351,Kings Palace,7.7,"Vračar, Belgrade",Good ,500 reviews,Original price 292 zł. Current price 211 zł.,0.9 km from center,Economy Double Room,0,,
10352,Sobe za izdavanje,,Belgrade,,,Original price 90 zł. Current price 73 zł.,6.5 km from center,Budget Single Room,0,,
10353,Apartments Legacy,9.3,"Stari Grad, Belgrade",Wonderful ,252 reviews,Price 241 zł,0.7 km from center,Studio (2 Adults),4,,Location 9.8
10354,Omia,9.0,"Savski Venac, Belgrade",Wonderful ,846 reviews,Price 193 zł,1.1 km from center,Standard Single Room,0,,Location 9.3
10355,Airport Hotel Garni,8.5,Belgrade,Very Good ,"2,545 reviews",Price 255 zł,11.8 km from center,Single Room,3,Breakfast included,
10356,Hotel City Savoy,8.9,"Stari Grad, Belgrade",Excellent ,726 reviews,Price 382 zł,400 m from center,Standard Single Room,4,Breakfast included,Location 9.5
10357,Bed & Breakfast Garden40,8.5,"Savski Venac, Belgrade",Very Good ,747 reviews,Price 171 zł,0.6 km from center,Single Room,3,Breakfast included,Location 9.3
10358,Hotel Passport Garni,8.2,"Novi Beograd, Belgrade",Very Good ,336 reviews,Original price 232 zł. Current price 209 zł.,6.1 km from center,Single Room,4,Breakfast included,
10359,Premium Suits Terazije,,Belgrade,,,Original price 217 zł. Current price 174 zł.,150 m from center,One-Bedroom Apartment,0,,
10360,Vila Terazije,8.3,"Stari Grad, Belgrade",Very Good ,724 reviews,Original price 202 zł. Current price 190 zł.,300 m from center,Standard Double Room,3,,Location 9.6
10361,Hotel M,8.2,"Vozdovac, Belgrade",Very Good ,132 reviews,Price 329 zł,5.4 km from center,Single Economy,4,Breakfast included,
10362,Super seven inn,9.4,"Čukarica, Belgrade",Wonderful ,190 reviews,Original price 307 zł. Current price 288 zł.,5.5 km from center,Deluxe King Room,3,,
10363,Savamala b&b,9.0,"Savski Venac, Belgrade",Wonderful ,359 reviews,Price 273 zł,0.6 km from center,Budget Double Room,4,,Location 9.5
10364,Black Pearl Luxury Suites,9.2,"Stari Grad, Belgrade",Wonderful ,846 reviews,Price 335 zł,350 m from center,Standard Double Room,4,,Location 9.7
10365,Hostel Fine,8.3,"Stari Grad, Belgrade",Very Good ,554 reviews,Original price 195 zł. Current price 176 zł.,350 m from center,King Room,0,,Location 9.5
10366,Apartments & Rooms Left River,8.0,"Savski Venac, Belgrade",Very Good ,630 reviews,Price 123 zł,0.8 km from center,Single Room,3,,
10367,Apart K Apartments & Rooms,8.3,"Novi Beograd, Belgrade",Very Good ,"1,080 reviews",Price 226 zł,8.8 km from center,Standard Apartment,3,,
10368,Hotel Skadarlija NB,8.9,"Stari Grad, Belgrade",Excellent ,449 reviews,Price 377 zł,350 m from center,Economy Double Room,4,,Location 9.6
10369,Hostel White Town,8.7,"Vračar, Belgrade",Excellent ,115 reviews,Price 94 zł,2.4 km from center,Triple Room with Shared Bathroom,0,,
10370,Silver Luxury Suites,9.7,"Belgrade City Centre, Belgrade",Exceptional ,16 reviews,Price 276 zł,150 m from center,Superior Double Room,0,,Location 10
10371,Belgrade City Hotel,7.8,"Savski Venac, Belgrade",Good ,"1,120 reviews",Original price 269 zł. Current price 252 zł.,0.9 km from center,Budget Double Room - Annex,4,Breakfast included,
10372,Amsterdam Hotel,8.7,"Savski Venac, Belgrade",Excellent ,"2,641 reviews",Original price 425 zł. Current price 398 zł.,450 m from center,Standard Room,4,Breakfast included,
10373,SAINT TEN Hotel,9.0,"Vračar, Belgrade",Wonderful ,529 reviews,Price 832 zł,1.8 km from center,Classic Double Room,5,Breakfast included,
10374,Villa Skadarlija,9.0,"Stari Grad, Belgrade",Wonderful ,215 reviews,Price 283 zł,350 m from center,Standard Double Room,4,,Location 9.7
10375,Hotel Elegance,8.6,"Palilula, Belgrade",Excellent ,"1,474 reviews",Original price 167 zł. Current price 156 zł.,5.3 km from center,Double Room,3,Breakfast included,
10376,Swan,9.4,"Novi Beograd, Belgrade",Wonderful ,102 reviews,Price 278 zł,5.7 km from center,Double Room with Spa Bath,4,,Location 9.5
10377,Rei house apartmani,9.4,"Vozdovac, Belgrade",Wonderful ,109 reviews,Price 225 zł,8.3 km from center,One-Bedroom Apartment,4,,
10378,Hotel Slodes,7.5,"Rakovica, Belgrade",Good ,279 reviews,Original price 166 zł. Current price 156 zł.,6.7 km from center,Single Room,3,,
10379,Hotel Mar Garni,9.2,"Novi Beograd, Belgrade",Wonderful ,728 reviews,Price 321 zł,8.5 km from center,Superior Single Room,3,Breakfast included,
10380,Envoy Hotel,9.2,"Stari Grad, Belgrade",Wonderful ,712 reviews,Price 588 zł,150 m from center,Standard Single Room,4,Breakfast included,Location 9.8
10381,Green House Hostel,8.4,"Novi Beograd, Belgrade",Very Good ,510 reviews,Original price 185 zł. Current price 174 zł.,2.3 km from center,Single Room,0,Breakfast included,
