,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
15199,L'Avventura Athens,9.1,"Psiri, Athens",Wonderful ,890 reviews,Original price 486 zł. Current price 389 zł.,1.1 km from center,Economy Double Room,0,,Location 9.6
15200,Apollo Hotel,7.8,"Metaxourgeio, Athens",Good ,899 reviews,Price 171 zł,1.7 km from center,Single Room,3,Breakfast included,
15201,Cityzoe Athens Suites,9.1,"Plaka, Athens",Wonderful ,160 reviews,Price 437 zł,0.7 km from center,Standard Suite,4,,Location 9.8
15202,The Residence - Christokopidou Hotel & SPA,8.8,"Psiri, Athens",Excellent ,712 reviews,Original price 828 zł. Current price 497 zł.,1 km from center,Standard Double Room,0,,Location 9.5
15203,Omiros Hotel,7.9,"Plaka, Athens",Good ,"2,585 reviews",Price 242 zł,300 m from center,Single Room,3,Breakfast included,Location 9.6
15204,Triple A - 3 Squares,9.0,"Syntagma, Athens",Wonderful ,96 reviews,Original price 774 zł. Current price 584 zł.,0.7 km from center,Queen Studio,3,,Location 9.6
15205,Studio with sunny balcony in Exarcheia,8.5,"Exarcheia, Athens",Very Good ,106 reviews,Price 190 zł,1.2 km from center,One-Bedroom Apartment,3,,
15206,The Residence Aiolou Suites & SPA,9.3,"Monastiraki, Athens",Wonderful ,674 reviews,Original price 839 zł. Current price 529 zł.,0.7 km from center,Comfort Double Room (Opening package),0,,Location 9.7
15207,PURE URBAN PREMIUM METRO AGIOS NIKOLAOS,7.6,Athens,Good ,75 reviews,Price 122 zł,3.1 km from center,One-Bedroom Apartment,3,,
15208,Theasis Athens,8.4,"Plaka, Athens",Very Good ,370 reviews,Price 887 zł,0.9 km from center,Deluxe Double Room with Balcony,3,Breakfast included,Location 9.4
15209,Exrcheia's comfort stay,7.6,"Exarcheia, Athens",Good ,34 reviews,Price 117 zł,1.2 km from center,Two-Bedroom Apartment,3,,
15210,"Homely Apt in Neapoli, Exarcheia",8.0,"Athens City Centre, Athens",Very Good ,155 reviews,Price 162 zł,1 km from center,Apartment,3,,
15211,Pergamos Hotel,6.5,"Athens City Centre, Athens",Review score ,464 reviews,Price 143 zł,1.6 km from center,Double Room,2,,
15212,Stefanion Suites,8.8,"Plaka, Athens",Excellent ,560 reviews,Original price 338 zł. Current price 270 zł.,0.5 km from center,Superior Triple Room,3,Breakfast included,Location 9.8
15213,Adrian Hotel,8.6,"Plaka, Athens",Excellent ,"1,701 reviews",Price 443 zł,0.7 km from center,Triple Room,3,Breakfast included,Location 9.8
15214,Athens Mirabello,8.4,"Athens City Centre, Athens",Very Good ,"2,450 reviews",Price 197 zł,1.2 km from center,Single Room,3,Breakfast included,
15215,Secret Garden Downtown,,Athens,,,Original price 334 zł. Current price 267 zł.,1.2 km from center,One-Bedroom Apartment,0,,
15216,Athens Studios,7.9,"Koukaki, Athens",Good ,"3,284 reviews",Original price 414 zł. Current price 352 zł.,1.1 km from center,Studio Apartment with Kitchenette and Balcony,3,Breakfast included,Location 9.6
15217,Athens Raise Acropolis Project,8.9,"Athens City Centre, Athens",Excellent ,"2,064 reviews",Price 309 zł,1.1 km from center,Studio,3,,Location 9.5
15218,Acropolis Vision,9.2,"Thisseio, Athens",Wonderful ,905 reviews,Original price 516 zł. Current price 361 zł.,1.4 km from center,Economy Double Room,0,,Location 9.8
15219,"Athenaeum Intercontinental, an IHG Hotel",8.4,"Neos Kosmos, Athens",Very Good ,748 reviews,Price 648 zł,2.2 km from center,Classic King Room,5,,
15220,Iasonos Suites Athens,8.7,"Metaxourgeio, Athens",Excellent ,490 reviews,Original price 472 zł. Current price 331 zł.,1.7 km from center,Superior Suite,0,,
15221,Eleni's home in Athens-room rental,8.9,"Pagkrati, Athens",Excellent ,119 reviews,Price 178 zł,1.6 km from center,Deluxe Double Room,0,,Location 9.3
15222,Belle Epoque Suites,9.3,"Syntagma, Athens",Wonderful ,833 reviews,Original price 530 zł. Current price 425 zł.,450 m from center,Deluxe Double Room,0,,Location 9.6
15223,Best Western Plus Embassy Hotel,8.4,"Athens City Centre, Athens",Very Good ,775 reviews,Original price 489 zł. Current price 418 zł.,2.1 km from center,Twin Room,4,Breakfast included,
15224,Mandra Living-Kolonaki,9.5,"Kolonaki, Athens",Exceptional ,20 reviews,Price 300 zł,0.7 km from center,One-Bedroom Apartment,4,,Location 9.9
15225,Royal Olympic Hotel,7.4,"Athens City Centre, Athens",Good ,"1,748 reviews",Price 572 zł,0.9 km from center,Special Offer - Executive Room,5,Breakfast included,
15226,Green Suites Boutique Hotel,9.0,Athens,Wonderful ,"1,311 reviews",Price 547 zł,5.2 km from center,Double or Twin Room - Disability Access,5,Breakfast included,
15227,The Athens Gate Hotel,8.8,"Koukaki, Athens",Excellent ,"2,494 reviews",Price 500 zł,0.8 km from center,Budget Double Room,4,Breakfast included,Location 9.7
15228,Hotel Achilleas,8.8,"Syntagma, Athens",Excellent ,765 reviews,Price 335 zł,300 m from center,Standard  Room,3,Breakfast included,Location 9.6
15229,Minoa Athens Hotel,8.1,"Athens City Centre, Athens",Very Good ,"1,982 reviews",Price 157 zł,1.5 km from center,Single Room,3,,
15230,Tempi Hotel,8.0,"Monastiraki, Athens",Very Good ,"1,742 reviews",Price 132 zł,0.7 km from center,Budget Single Room with Shared Bathroom,1,,Location 9.7
15231,Ilissos,8.3,"Koukaki, Athens",Very Good ,331 reviews,Price 324 zł,2 km from center,Single Room,4,,
15232,Acropolis House,8.1,"Plaka, Athens",Very Good ,"1,002 reviews",Price 265 zł,350 m from center,Single Room with Private External Bathroom,2,Breakfast included,Location 9.7
15233,Thisean Modern Suites By Athens Stay,8.5,"Kallithea, Athens",Very Good ,532 reviews,Original price 463 zł. Current price 371 zł.,4 km from center,Superior Apartment,4,,
15234,Acropol Hotel,8.5,"Chalandri, Athens",Very Good ,474 reviews,Price 307 zł,8.6 km from center,Single Room,3,Breakfast included,
15235,SOUL Athens Hotel,8.7,"Psiri, Athens",Excellent ,"1,120 reviews",Original price 610 zł. Current price 518 zł.,1 km from center,Double Room,0,,
15236,Athens Capital Center Hotel - MGallery Collection,9.0,"Syntagma, Athens",Wonderful ,"1,009 reviews",Price 824 zł,150 m from center,Classic Queen Room,5,,Location 9.8
15237,Nefeli Hotel,8.0,"Plaka, Athens",Very Good ,699 reviews,Price 260 zł,400 m from center,Single Room,2,Breakfast included,Location 9.7
15238,COCO-MAT Athens Jumelle,9.1,"Kolonaki, Athens",Wonderful ,"2,187 reviews",Price 699 zł,0.7 km from center,Double Room,5,,Location 9.4
15239,MiraMe Athens Boutique Hotel-House of Gastronomy,9.5,"Psiri, Athens",Exceptional ,228 reviews,Price 575 zł,1.2 km from center,Superior Double Room,4,Breakfast included,Location 9.7
15240,Pan Hotel,8.4,"Syntagma, Athens",Very Good ,"1,251 reviews",Price 306 zł,200 m from center,Single Standard Room,3,Breakfast included,Location 9.7
15241,Niche Hotel Athens,9.1,"Athens City Centre, Athens",Wonderful ,"1,783 reviews",Price 521 zł,1 km from center,Single niche Room,4,Breakfast included,Location 9.5
15242,Nefeli Hotel,8.0,"Plaka, Athens",Very Good ,699 reviews,Price 260 zł,400 m from center,Single Room,2,Breakfast included,Location 9.7
15243,COCO-MAT Athens Jumelle,9.1,"Kolonaki, Athens",Wonderful ,"2,187 reviews",Price 699 zł,0.7 km from center,Double Room,5,,Location 9.4
15244,MiraMe Athens Boutique Hotel-House of Gastronomy,9.5,"Psiri, Athens",Exceptional ,228 reviews,Price 575 zł,1.2 km from center,Superior Double Room,4,Breakfast included,Location 9.7
15245,Pan Hotel,8.4,"Syntagma, Athens",Very Good ,"1,251 reviews",Price 309 zł,200 m from center,Single Standard Room,3,Breakfast included,Location 9.7
15246,Niche Hotel Athens,9.1,"Athens City Centre, Athens",Wonderful ,"1,783 reviews",Price 521 zł,1 km from center,Single niche Room,4,Breakfast included,Location 9.5
15247,Philia Boutique Hotel,9.3,"Psiri, Athens",Wonderful ,489 reviews,Price 446 zł,0.9 km from center,Double Room with Patio,4,Breakfast included,Location 9.6
15248,NJV Athens Plaza,8.4,"Syntagma, Athens",Very Good ,"1,092 reviews",Price 737 zł,50 m from center,Classic Single Room,5,,Location 9.7
15249,Athens Tower Hotel by Palladian Hotels,8.2,"Monastiraki, Athens",Very Good ,231 reviews,Price 443 zł,0.8 km from center,Double Room,4,Breakfast included,Location 9.5
15250,Hotel Fresh,8.6,"Athens City Centre, Athens",Excellent ,"1,455 reviews",Price 397 zł,1 km from center,Single Room,4,Breakfast included,
15251,Ivis 4 Boutique Hotel,9.4,"Psiri, Athens",Wonderful ,719 reviews,Price 750 zł,1.1 km from center,Superior Double or Twin Room,4,Breakfast included,Location 9.6
15252,"Brown Acropol, a member of Brown Hotels",8.4,"Athens City Centre, Athens",Very Good ,"2,030 reviews",Original price 415 zł. Current price 295 zł.,1.1 km from center,Cozy Double Room,4,,
15253,Palladian Home,8.8,"Plaka, Athens",Excellent ,614 reviews,Price 401 zł,0.6 km from center,Standard Double Room,4,,Location 9.8
15254,STAY INN,8.8,"Marousi, Athens",Excellent ,236 reviews,Price 587 zł,7.6 km from center,Double Room with Balcony,3,,
15255,WUKELA APARTMENTS,9.2,"Psiri, Athens",Wonderful ,945 reviews,Price 366 zł,1.3 km from center,One-Bedroom Apartment,3,,Location 9.3
15256,Central Hotel,8.4,"Plaka, Athens",Very Good ,"2,158 reviews",Price 318 zł,350 m from center,Single Standard,3,Breakfast included,Location 9.6
15257,Economy Hotel,8.4,"Athens City Centre, Athens",Very Good ,"1,905 reviews",Price 228 zł,1 km from center,Single Room,2,Breakfast included,
15258,Crafoord Place Hostel Athens,7.2,"Plaka, Athens",Good ,"1,722 reviews",Original price 80 zł. Current price 68 zł.,350 m from center,Bed in 6-Bed Mixed Dormitory Room,0,,Location 9.3
15259,Herodion Hotel,8.8,"Koukaki, Athens",Excellent ,636 reviews,Price 528 zł,1.1 km from center,Single Room,4,Breakfast included,Location 9.8
